"gage_id","nws_id","agency","station_name","domain","domain_id","nwm_v3_calibration","headwater_calibration","latitude","longitude"
"02027500","PIRV2","USGS","PINEY RIVER AT PINEY RIVER, VA","CONUS","3","true","true","37.7023625","-79.0275254"
"02028500","RKRV2","USGS","ROCKFISH RIVER NEAR GREENFIELD, VA","CONUS","3","true","true","37.86958499","-78.8233543"
"02013000","DLPV2","USGS","DUNLAP CREEK NEAR COVINGTON, VA","CONUS","3","true","true","37.8029022","-80.0470043"
"02014000","PTCV2","USGS","POTTS CREEK NEAR COVINGTON, VA","CONUS","3","true","true","37.72901408","-80.0422802"
"02015700","BPRV2","USGS","BULLPASTURE RIVER AT WILLIAMSVILLE, VA","CONUS","3","true","true","38.19540308","-79.57032338"
"02032640","NFRV2","USGS","N F RIVANNA RIVER NEAR EARLYSVILLE, VA","CONUS","3","true","true","38.1634674","-78.4247323"
"02046000","SNKV2","USGS","STONY CREEK NEAR DINWIDDIE, VA","CONUS","3","true","true","37.0670942","-77.602489"
"02051000","LNBV2","USGS","NORTH MEHERRIN RIVER NEAR LUNENBURG, VA","CONUS","3","true","true","36.9973738","-78.3497182"
"02051500","LAWV2","USGS","MEHERRIN RIVER NEAR LAWRENCEVILLE, VA","CONUS","3","true","true","36.71681395","-77.8316582"
"02053200","POTN7","USGS","POTECASI CREEK NEAR UNION, NC","CONUS","3","true","true","36.3708333","-77.0255556"
"02053800","SHAV2","USGS","S F ROANOKE RIVER NEAR SHAWSVILLE, VA","CONUS","3","true","true","37.1401323","-80.2664328"
"02056900","BLAV2","USGS","BLACKWATER RIVER NEAR ROCKY MOUNT, VA","CONUS","3","true","true","37.0451406","-79.8441993"
"02065500","CUBV2","USGS","CUB CREEK AT PHENIX, VA","CONUS","3","true","true","37.0793112","-78.7636178"
"02069700","NTLV2","USGS","SOUTH MAYO RIVER NEAR NETTLERIDGE, VA","CONUS","3","true","true","36.570971","-80.1294928"
"02070000","NMRV2","USGS","NORTH MAYO RIVER NEAR SPENCER, VA","CONUS","3","true","true","36.56819358","-79.98726539"
"02070500","PRIN7","USGS","MAYO RIVER NEAR PRICE, NC","CONUS","3","true","true","36.53388889","-79.99138889"
"02074500","SDRV2","USGS","SANDY RIVER NEAR DANVILLE, VA","CONUS","3","true","true","36.6195825","-79.5041932"
"02055100","DAEV2","USGS","TINKER CREEK NEAR DALEVILLE, VA","CONUS","3","true","true","37.41763318","-79.9353193"
"0208111310","WNDN7","USGS","CASHIE RIVER AT SR1257 NEAR WINDSOR, NC","CONUS","3","true","true","36.04777778","-76.9841667"
"02081500","TRVN7","USGS","TAR RIVER NEAR TAR RIVER, NC","CONUS","3","true","true","36.19416667","-78.5830556"
"02082770","SWIN7","USGS","SWIFT CREEK AT HILLIARDSTON, NC","CONUS","3","true","true","36.1122222","-77.92"
"02084160","SIMN7","USGS","CHICOD CR AT SR1760 NEAR SIMPSON, NC","CONUS","3","true","true","35.56166667","-77.2308333"
"02077200","LSBN7","USGS","HYCO CREEK NEAR LEASBURG, NC","CONUS","3","true","true","36.39777778","-79.1966667"
"02079640","ALKV2","USGS","ALLEN CREEK NEAR BOYDTON, VA","CONUS","3","true","true","36.67958589","-78.326664"
"02091000","NAHN7","USGS","NAHUNTA SWAMP NEAR SHINE, NC","CONUS","3","true","true","35.48888889","-77.8061111"
"02AB021","","ENVCA","","CONUS","3","false","true","48.5625","-89.24084"
